Start Date,Bands,Is Local,Venue,Location,Ranking,Rating,Paid,Discount,dist_from_home,drive_time,capacity,Scrobbles Before Concert,Album Name,Release Date,Tier,Waited,Venue Location,Full Address
2024-01-13,Lady Bird,1.0,Pool Studios,"Milwaukee, Wisconsin, United States",2,5.0,1,Unknown,5.1,12,250,0,,,,,"Pool Studios, Milwaukee, Wisconsin, United States","3728 N Fratney St, Milwaukee, WI 53212"
2024-01-13,Max Niemann,1.0,Pool Studios,"Milwaukee, Wisconsin, United States",2,5.0,1,Unknown,5.1,12,250,23,,,,,"Pool Studios, Milwaukee, Wisconsin, United States","3728 N Fratney St, Milwaukee, WI 53212"
2024-01-13,Jacob Slade,0.0,Pool Studios,"Milwaukee, Wisconsin, United States",2,5.0,1,Unknown,5.1,12,250,92,Soft Spoken,2023-10-13,Top 25,92 day(s),"Pool Studios, Milwaukee, Wisconsin, United States","3728 N Fratney St, Milwaukee, WI 53212"
2024-01-13,Maximiano,1.0,Pool Studios,"Milwaukee, Wisconsin, United States",2,5.0,1,Unknown,5.1,12,250,0,The Real Truth,2024-09-07,Top 25,,"Pool Studios, Milwaukee, Wisconsin, United States","3728 N Fratney St, Milwaukee, WI 53212"
2024-01-13,Jack Eyke,1.0,Pool Studios,"Milwaukee, Wisconsin, United States",2,5.0,1,Unknown,5.1,12,250,5,,,,,"Pool Studios, Milwaukee, Wisconsin, United States","3728 N Fratney St, Milwaukee, WI 53212"
2024-01-18,Meg Myers,0.0,The Rave,"Milwaukee, Wisconsin, United States",56,3.0,0,Rave Contest,4.9,10,1000,8,,,,,"The Rave, Milwaukee, Wisconsin, United States",The Rave
2024-01-27,Cécile McLorin Salvante,0.0,Marcus Center for the Performing Arts,"Milwaukee, Wisconsin, United States",0,0.0,1,Unknown,4.8,14,2125,1,,,,,"Marcus Center for the Performing Arts, Milwaukee, Wisconsin, United States",Marcus Center for the Performing Arts
2024-02-03,Wave Chapelle,1.0,88Nine Radio Milwaukee Studios,"Milwaukee, Wisconsin, United States",28,4.0,1,Unknown,7.3,13,100,452,Can't Stop Won't Stop,2023-05-05,Top 100,274 day(s),"88Nine Radio Milwaukee Studios, Milwaukee, Wisconsin, United States",88Nine Radio Milwaukee Studios
2024-02-03,Dak Dubois,1.0,88Nine Radio Milwaukee Studios,"Milwaukee, Wisconsin, United States",28,4.0,1,Unknown,7.3,13,100,7,,,,,"88Nine Radio Milwaukee Studios, Milwaukee, Wisconsin, United States",88Nine Radio Milwaukee Studios
2024-02-03,Scam Likely,1.0,88Nine Radio Milwaukee Studios,"Milwaukee, Wisconsin, United States",28,4.0,1,Unknown,7.3,13,100,1,,,,,"88Nine Radio Milwaukee Studios, Milwaukee, Wisconsin, United States",88Nine Radio Milwaukee Studios
2024-02-03,Sleepy Groucho,1.0,88Nine Radio Milwaukee Studios,"Milwaukee, Wisconsin, United States",28,4.0,1,Unknown,7.3,13,100,5,,,,,"88Nine Radio Milwaukee Studios, Milwaukee, Wisconsin, United States",88Nine Radio Milwaukee Studios
2024-02-08,Willi Carlisle,0.0,Cactus Club,"Milwaukee, Wisconsin, United States",1,5.0,1,Unknown,9.5,15,150,53,Critterland,2024-01-26,Top 5,13 day(s),"Cactus Club, Milwaukee, Wisconsin, United States",Cactus Club
2024-02-08,Golden Shoals,0.0,Cactus Club,"Milwaukee, Wisconsin, United States",1,5.0,1,Unknown,9.5,15,150,0,,,,,"Cactus Club, Milwaukee, Wisconsin, United States",Cactus Club
2024-02-09,Abraham Alexander,0.0,Marcus Center for the Performing Arts,"Milwaukee, Wisconsin, United States",50,3.5,0,Ushered,4.8,14,2125,0,,,,,"Marcus Center for the Performing Arts, Milwaukee, Wisconsin, United States",Marcus Center for the Performing Arts
2024-02-09,Black Violin,0.0,Marcus Center for the Performing Arts,"Milwaukee, Wisconsin, United States",50,3.5,0,Ushered,4.8,14,2125,0,,,,,"Marcus Center for the Performing Arts, Milwaukee, Wisconsin, United States",Marcus Center for the Performing Arts
2024-02-12,Briston Maroney,0.0,Turner Hall Ballroom,"Milwaukee, Wisconsin, United States",43,3.5,0,Street Team,4.5,13,987,88,Sunflower,2021-04-09,Top 50,1039 day(s),"Turner Hall Ballroom, Milwaukee, Wisconsin, United States",Turner Hall Ballroom
2024-02-12,Phoebe Go,0.0,Turner Hall Ballroom,"Milwaukee, Wisconsin, United States",43,3.5,0,Street Team,4.5,13,987,5,,,,,"Turner Hall Ballroom, Milwaukee, Wisconsin, United States",Turner Hall Ballroom
2024-02-20,Wave Chapelle,1.0,Vivarium,"Milwaukee, Wisconsin, United States",47,3.5,0,Street Team,5.5,16,450,464,Can't Stop Won't Stop,2023-05-05,Top 100,291 day(s),"Vivarium, Milwaukee, Wisconsin, United States",Vivarium
2024-02-20,ADORNER,1.0,Vivarium,"Milwaukee, Wisconsin, United States",47,3.5,0,Street Team,5.5,16,450,0,,,,,"Vivarium, Milwaukee, Wisconsin, United States",Vivarium
2024-02-22,Molly Grace,0.0,Vivarium,"Milwaukee, Wisconsin, United States",0,0.0,1,Unknown,5.5,16,450,25,,,,,"Vivarium, Milwaukee, Wisconsin, United States",Vivarium
2024-02-22,The Wonderlands (US),0.0,Vivarium,"Milwaukee, Wisconsin, United States",0,0.0,1,Unknown,5.5,16,450,5,,,,,"Vivarium, Milwaukee, Wisconsin, United States",Vivarium
2024-03-01,Diet Lite,1.0,Vivarium,"Milwaukee, Wisconsin, United States",45,3.5,0,Street Team,5.5,16,450,32,,,,,"Vivarium, Milwaukee, Wisconsin, United States",Vivarium
2024-03-01,Motel Breakfast,1.0,Vivarium,"Milwaukee, Wisconsin, United States",45,3.5,0,Street Team,5.5,16,450,3,,,,,"Vivarium, Milwaukee, Wisconsin, United States",Vivarium
2024-03-01,Ladybird,1.0,Vivarium,"Milwaukee, Wisconsin, United States",45,3.5,0,Street Team,5.5,16,450,0,Amy Come on Home,2024-05-17,Top 100,,"Vivarium, Milwaukee, Wisconsin, United States",Vivarium
2024-03-02,Cat Power,0.0,Pabst Theater,"Milwaukee, Wisconsin, United States",52,3.0,0,Street Team,4.9,14,1279,64,,,,,"Pabst Theater, Milwaukee, Wisconsin, United States",Pabst Theater
2024-03-07,Max Niemann and the Fellow Traveles,1.0,Linneman's Riverwest Inn,"Milwaukee, Wisconsin, United States",25,4.5,1,Unknown,4.2,12,160,23,,,,,"Linneman's Riverwest Inn, Milwaukee, Wisconsin, United States","1001 E Locust St, Milwaukee, WI 53212"
2024-03-07,Jacob Slade,1.0,Linneman's Riverwest Inn,"Milwaukee, Wisconsin, United States",25,4.5,1,Unknown,4.2,12,160,110,Soft Spoken,2023-10-13,Top 25,146 day(s),"Linneman's Riverwest Inn, Milwaukee, Wisconsin, United States","1001 E Locust St, Milwaukee, WI 53212"
2024-03-07,Holy Pinto,1.0,Linneman's Riverwest Inn,"Milwaukee, Wisconsin, United States",25,4.5,1,Unknown,4.2,12,160,3,,,,,"Linneman's Riverwest Inn, Milwaukee, Wisconsin, United States","1001 E Locust St, Milwaukee, WI 53212"
2024-03-16,Grouplove,0.0,Riviera Theatre,"Chicago, Illinois, United States",11,4.5,1,Unknown,91.5,94,2500,340,,,,,"Riviera Theatre, Chicago, Illinois, United States",Riviera Theatre
2024-03-16,Bully,0.0,Riviera Theatre,"Chicago, Illinois, United States",11,4.5,1,Unknown,91.5,94,2500,30,,,,,"Riviera Theatre, Chicago, Illinois, United States",Riviera Theatre
2024-03-27,Sun June,0.0,Vivarium,"Milwaukee, Wisconsin, United States",30,4.0,0,Street Team,5.5,16,450,29,,,,,"Vivarium, Milwaukee, Wisconsin, United States",Vivarium
2024-03-27,Wild Pink,0.0,Vivarium,"Milwaukee, Wisconsin, United States",30,4.0,0,Street Team,5.5,16,450,242,Dulling The Horns,2024-10-04,Top 50,,"Vivarium, Milwaukee, Wisconsin, United States",Vivarium
2024-03-27,Sinai Vessel,0.0,Vivarium,"Milwaukee, Wisconsin, United States",30,4.0,0,Street Team,5.5,16,450,0,,,,,"Vivarium, Milwaukee, Wisconsin, United States",Vivarium
2024-03-31,Barely Civil,1.0,Cactus Club,"Milwaukee, Wisconsin, United States",3,5.0,1,Unknown,9.5,15,150,46,I'd Say I'm Not Fine,2024-03-22,Top 10,9 day(s),"Cactus Club, Milwaukee, Wisconsin, United States",Cactus Club
2024-03-31,Overhand,1.0,Cactus Club,"Milwaukee, Wisconsin, United States",3,5.0,1,Unknown,9.5,15,150,0,,,,,"Cactus Club, Milwaukee, Wisconsin, United States",Cactus Club
2024-03-31,Known Moons,1.0,Cactus Club,"Milwaukee, Wisconsin, United States",3,5.0,1,Unknown,9.5,15,150,0,,,,,"Cactus Club, Milwaukee, Wisconsin, United States",Cactus Club
2024-03-31,Magazine Beach,0.0,Cactus Club,"Milwaukee, Wisconsin, United States",3,5.0,1,Unknown,9.5,15,150,32,Constant Springtime,2023-04-21,Top 25,345 day(s),"Cactus Club, Milwaukee, Wisconsin, United States",Cactus Club
2024-04-05,eliza mclamb,0.0,88Nine Radio Milwaukee Studios,"Milwaukee, Wisconsin, United States",41,4.0,0,88nine Member,7.3,13,100,18,,,,,"88Nine Radio Milwaukee Studios, Milwaukee, Wisconsin, United States",88Nine Radio Milwaukee Studios
2024-04-05,The Last Dinner Party,0.0,Turner Hall Ballroom,"Milwaukee, Wisconsin, United States",9,4.5,0,88nine Call-in,4.5,13,987,72,Prelude to Ecstasy,2024-02-02,Top 50,63 day(s),"Turner Hall Ballroom, Milwaukee, Wisconsin, United States",Turner Hall Ballroom
2024-04-05,Miss Grit,0.0,Turner Hall Ballroom,"Milwaukee, Wisconsin, United States",9,4.5,0,88nine Call-in,4.5,13,987,163,Follow the Cyborg,2023-02-24,Top 5,406 day(s),"Turner Hall Ballroom, Milwaukee, Wisconsin, United States",Turner Hall Ballroom
2024-04-06,We Are the Willows,0.0,Paradigm Coffee,"Sheboygan, Wisconsin, United States",32,4.0,1,Unknown,56.8,60,90,254,,,,,"Paradigm Coffee, Sheboygan, Wisconsin, United States",Paradigm Coffee
2024-04-08,Real Estate,0.0,Vivarium,"Milwaukee, Wisconsin, United States",44,3.5,0,Street Team,5.5,16,450,65,,,,,"Vivarium, Milwaukee, Wisconsin, United States",Vivarium
2024-04-08,Marina Allen,0.0,Vivarium,"Milwaukee, Wisconsin, United States",44,3.5,0,Street Team,5.5,16,450,6,,,,,"Vivarium, Milwaukee, Wisconsin, United States",Vivarium
2024-04-10,The Mountain Goats,0.0,Turner Hall Ballroom,"Milwaukee, Wisconsin, United States",17,4.5,0,Street Team,4.5,13,987,91,,,,,"Turner Hall Ballroom, Milwaukee, Wisconsin, United States",Turner Hall Ballroom
2024-04-10,Katy Kirby,0.0,Turner Hall Ballroom,"Milwaukee, Wisconsin, United States",17,4.5,0,Street Team,4.5,13,987,365,Blue Raspberry (Deluxe),2024-07-12,Top 50,,"Turner Hall Ballroom, Milwaukee, Wisconsin, United States",Turner Hall Ballroom
2024-04-20,Friko,0.0,Liliput Records,"Milwaukee, Wisconsin, United States",4,5.0,0,Record Store Day,5.3,16,120,43,"Where we've been, Where we go from here",2024-02-16,Top 5,64 day(s),"Liliput Records, Milwaukee, Wisconsin, United States",Liliput Records
2024-04-20,Saint Motel,0.0,Turner Hall Ballroom,"Milwaukee, Wisconsin, United States",53,3.0,1,Unknown,4.5,13,987,179,The Original Motion Picture Soundtrack,2021-06-25,Top 50,1030 day(s),"Turner Hall Ballroom, Milwaukee, Wisconsin, United States",Turner Hall Ballroom
2024-04-20,Gibbz,0.0,Turner Hall Ballroom,"Milwaukee, Wisconsin, United States",53,3.0,1,Unknown,4.5,13,987,37,,,,,"Turner Hall Ballroom, Milwaukee, Wisconsin, United States",Turner Hall Ballroom
2024-04-22,Alvvays,0.0,Pabst Theater,"Milwaukee, Wisconsin, United States",12,4.5,1,Unknown,4.9,14,1279,167,,,,,"Pabst Theater, Milwaukee, Wisconsin, United States",Pabst Theater
2024-04-22,Spllit,0.0,Pabst Theater,"Milwaukee, Wisconsin, United States",12,4.5,1,Unknown,4.9,14,1279,2,,,,,"Pabst Theater, Milwaukee, Wisconsin, United States",Pabst Theater
2024-04-27,Sierra Ferrell,0.0,The Riverside Theater,"Milwaukee, Wisconsin, United States",16,4.5,0,Street Team,5.5,12,2450,114,Trail Of Flowers,2024-03-22,Top 25,36 day(s),"The Riverside Theater, Milwaukee, Wisconsin, United States",The Riverside Theater
2024-04-27,Cat Clyde,0.0,The Riverside Theater,"Milwaukee, Wisconsin, United States",16,4.5,0,Street Team,5.5,12,2450,39,Down Rounder,2023-02-17,Top 50,435 day(s),"The Riverside Theater, Milwaukee, Wisconsin, United States",The Riverside Theater
2024-05-01,Durry,0.0,Vivarium,"Milwaukee, Wisconsin, United States",31,4.0,0,Street Team,5.5,16,450,24,,,,,"Vivarium, Milwaukee, Wisconsin, United States",Vivarium
2024-05-01,Lunar Moth,0.0,Vivarium,"Milwaukee, Wisconsin, United States",31,4.0,0,Street Team,5.5,16,450,0,,,,,"Vivarium, Milwaukee, Wisconsin, United States",Vivarium
2024-05-07,Belle and Sebastian,0.0,Turner Hall Ballroom,"Milwaukee, Wisconsin, United States",13,4.5,0,Street Team,4.5,13,987,171,Late Developers,2023-01-13,Top 50,480 day(s),"Turner Hall Ballroom, Milwaukee, Wisconsin, United States",Turner Hall Ballroom
2024-05-07,Haley Henderickx,0.0,Turner Hall Ballroom,"Milwaukee, Wisconsin, United States",13,4.5,0,Street Team,4.5,13,987,67,,,,,"Turner Hall Ballroom, Milwaukee, Wisconsin, United States",Turner Hall Ballroom
2024-06-03,Camera Obscura,0.0,Thalia Hall,"Chicago, Illinois, United States",42,3.5,1,Unknown,97.7,94,800,103,,,,,"Thalia Hall, Chicago, Illinois, United States",Thalia Hall
2024-06-03,Photo Ops,0.0,Thalia Hall,"Chicago, Illinois, United States",42,3.5,1,Unknown,97.7,94,800,0,,,,,"Thalia Hall, Chicago, Illinois, United States",Thalia Hall
2024-06-12,Wilco,0.0,The Riverside Theater,"Milwaukee, Wisconsin, United States",29,4.0,0,Street Team,5.5,12,2450,66,,,,,"The Riverside Theater, Milwaukee, Wisconsin, United States",The Riverside Theater
2024-06-12,Cut Worms,0.0,The Riverside Theater,"Milwaukee, Wisconsin, United States",29,4.0,0,Street Team,5.5,12,2450,58,,,,,"The Riverside Theater, Milwaukee, Wisconsin, United States",The Riverside Theater
