Start Date,End Date,Concert Name,Bands,Venue,Location
02/22/2025,,Riverwest Radio Spotlight Series,Barely Civil / Wave Chapelle / Caley Conway / 2hi,Amorphic Beer,"Milwaukee, Wisconsin, United States"
01/29/2025,,the DIVE tour,Almost Monday / Adrian Lyles,Vivarium,"Milwaukee, Wisconsin, United States"
01/24/2025,,,Beach Bunny / Delaney Bailey,Turner Hall Ballroom,"Milwaukee, Wisconsin, United States"
01/23/2025,,,Orillia / Poor Ridley / Maximiano,Sugar Maple,"Milwaukee, Wisconsin, United States"
12/26/2024,,"",Johanna Rose / Ellie Jackson / Bitch Creek,Cactus Club,"Milwaukee, Wisconsin, United States"
11/13/2024,,'Good News For People Who Love Bad News' 20 Year Anniversary Tour,Modest Mouse / The Black Heart Procession,The Riverside Theater,"Milwaukee, Wisconsin, United States"
11/09/2024,,"",Haley Heynderickx / Lily Breshears,Vivarium,"Milwaukee, Wisconsin, United States"
11/02/2024,,"",The Menzingers / Direct Hit! / Holy Pinto,The Rave,"Milwaukee, Wisconsin, United States"
10/24/2024,,"",The Nunnery / Dosh / Luke Callen / Maximiano / Jesse Walkers Hitch,Cactus Club,"Milwaukee, Wisconsin, United States"
10/18/2024,,"",Jacob Slade,Riverwalk Commons,"Milwaukee, Wisconsin, United States"
10/11/2024,,,Horseshoes & Hand Grenades / Ladybird,Pabst Theater,"Milwaukee, Wisconsin, United States"
10/04/2024,,Studio MIlwaukee Session,Yard Act,88Nine Radio Milwaukee Studios,"Milwaukee, Wisconsin, United States"
10/04/2024,,,Marika Hackman / Art School Girlfriend,Vivarium,"Milwaukee, Wisconsin, United States"
09/29/2024,,,Kaitlin Butts / Angel White,Vivarium,"Milwaukee, Wisconsin, United States"
09/22/2024,,,A.A. Williams / Jorge Vallentine,X-Ray Arcade,"Milwaukee, Wisconsin, United States"
09/20/2024,,,Dessa / Wave Chapelle,Vivarium,"Milwaukee, Wisconsin, United States"
09/17/2024,,North America Tour,Arlo Parks / Social Cig,The Rave/Eagles Club,"Milwaukee, Wisconsin, United States"
09/14/2024,,,Charlie Bliss / Raffaella,X-Ray Arcade,"Cudahy, Wisconsin, United States"
09/07/2024,,Maximiano (Album Release),Maximiano / Long Mama / King Courteen,Cactus Club,"Milwaukee, Wisconsin, United States"
09/04/2024,,,Silversun Pickups / Speedy Ortiz,The Rave/Eagles Club,"Milwaukee, Wisconsin, United States"
08/23/2024,,,Maggie Rose,Vivarium,"Milwaukee, Wisconsin, United States"
08/22/2024,,The Duality Tour,Lindsey Stirling / Walk Off The Earth,Miller High Life Theatre,"Milwaukee, Wisconsin, United States"
08/21/2024,,Summer of Soul Series,Talib Kweli,"Peck Pavilion, Marcus Center for the Performing Arts","Milwaukee, Wisconsin, United States"
08/17/2024,,"",Reyna / Vic and Gab / Eliza Hanson,Vivarium,"Milwaukee, Wisconsin, United States"
08/07/2024,,Cactus Club,Bats,Cactus Club,"Milwaukee, Wisconsin, United States"
08/02/2024,,"",J.E. Sunde / Caley Conway,Cactus Club,"Milwaukee, Wisconsin, United States"
08/01/2024,,Studio Milwaukee Session,Ra Ra Riot,88Nine Radio Milwaukee Studios,"Milwaukee, Wisconsin, United States"
08/01/2024,,"",Katy Kirby / Mei Semones / Maximiano,Cactus Club,"Milwaukee, Wisconsin, United States"
07/31/2024,,Vivarium in the Park,Max Niemann and the Fellow Traveles,Humboldt Park,"Milwaukee, Wisconsin, United States"
07/06/2024,,Summerfest (Milwaukee),Chase Rice / Amy Grant / Extreme / BoDeans / Sister Hazel / Living Colour / Cracker / Uprooted Feat. Michael Glabicki / Anne Wilson / Ashland Craft / Seaforth / Giacomo Turra / Tim Montana / Josh Morgan / Me Like Bees / Cold War Kids / Fillmore East,Summerfest,"Milwaukee, Wisconsin, United States"
07/05/2024,,,Local Natives,Summerfest,"Milwaukee, Wisconsin, United States"
07/04/2024,,Summerfest,Wave Chapelle / Ellie Jackson / Reyna / Say She She,Summerfest Grounds at Henry Maier Festival Park-M & I Bank Classic Rock Stage,"Milwaukee, Wisconsin, United States"
06/27/2024,,Summerfest (Milwaukee),Alison Wonderland / Ken Carson / Sleater-Kinney / Boys Like Girls / St. Paul and The Broken Bones / K camp / Hawthorne Heights / Anberlin / Brigitte Calls Me Baby / Ian Asher / Briscoe / Millyz / grouptherapy. / Clip / J Stone / Tracy Bonham / Cedric Burnside / McKinley Dixon / Bassel & the Supernaturals / ILLENIUM,Henry Maier Festival Park,"Milwaukee, Wisconsin, United States"
06/21/2024,,Summerfest 2024,Charlotte Cardin / Taylor Bennett,Summerfest Grounds at Henry Maier Festival Park,"Milwaukee, Wisconsin, United States"
06/14/2024,,,Iron & Wine / Ken Pomeroy,Pabst Theater,"Milwaukee, Wisconsin, United States"
06/13/2024,,,Gregory Allen Isakov,Miller High Life Theatre,"Milwaukee, Wisconsin, United States"
06/12/2024,,,Wilco / Cut Worms,The Riverside Theater,"Milwaukee, Wisconsin, United States"
06/03/2024,,"",Camera Obscura / Photo Ops,Thalia Hall,"Chicago, Illinois, United States"
05/07/2024,,"",Belle and Sebastian / Haley Henderickx,Turner Hall Ballroom,"Milwaukee, Wisconsin, United States"
05/01/2024,,Suburban Legend Tour,Durry / Lunar Moth,Vivarium,"Milwaukee, Wisconsin, United States"
04/27/2024,,Shoot For The Moon Tour,Sierra Ferrell / Cat Clyde,The Riverside Theater,"Milwaukee, Wisconsin, United States"
04/22/2024,,"",Alvvays / Spllit,Pabst Theater,"Milwaukee, Wisconsin, United States"
04/20/2024,,Record Store Day 2024,Friko,Liliput Records,"Milwaukee, Wisconsin, United States"
04/20/2024,,The Awards Show,Saint Motel / Gibbz,Turner Hall Ballroom,"Milwaukee, Wisconsin, United States"
04/10/2024,,,The Mountain Goats / Katy Kirby,Turner Hall Ballroom,"Milwaukee, Wisconsin, United States"
04/08/2024,,Infinite Jangle Tour,Real Estate / Marina Allen,Vivarium,"Milwaukee, Wisconsin, United States"
04/06/2024,,"",We Are the Willows,Paradigm Coffee,"Sheboygan, Wisconsin, United States"
04/05/2024,,Studio Milwaukee Session,eliza mclamb,88Nine Radio Milwaukee Studios,"Milwaukee, Wisconsin, United States"
04/05/2024,,North America Tour,The Last Dinner Party / Miss Grit,Turner Hall Ballroom,"Milwaukee, Wisconsin, United States"
03/31/2024,,"Barely Civil ""I'd Say I'm Not Fine"" Record Release",Barely Civil / Magazine Beach / Overhand / Known Moons,Cactus Club,"Milwaukee, Wisconsin, United States"
03/27/2024,,Sun June / Wild Pink at Vivarium,Sun June / Wild Pink / Sinai Vessel,Vivarium,"Milwaukee, Wisconsin, United States"
03/16/2024,,,Grouplove / Bully,Riviera Theatre,"Chicago, Illinois, United States"
03/07/2024,,,Max Niemann and the Fellow Traveles / Jacob Slade / Holy Pinto,Linneman's Riverwest Inn,"Milwaukee, Wisconsin, United States"
03/02/2024,,,Cat Power,Pabst Theater,"Milwaukee, Wisconsin, United States"
03/01/2024,,,Diet Lite / Motel Breakfast / Ladybird,Vivarium,"Milwaukee, Wisconsin, United States"
02/22/2024,,Vivarium Grand Opening,Molly Grace / The Wonderlands (US),Vivarium,"Milwaukee, Wisconsin, United States"
02/20/2024,,Vivarium First Look,Wave Chapelle / ADORNER,Vivarium,"Milwaukee, Wisconsin, United States"
02/12/2024,,Ultrapure Tour,Briston Maroney / Phoebe Go,Turner Hall Ballroom,"Milwaukee, Wisconsin, United States"
02/09/2024,,,Abraham Alexander / Black Violin,Marcus Center for the Performing Arts,"Milwaukee, Wisconsin, United States"
02/08/2024,,,Willi Carlisle / Golden Shoals,Cactus Club,"Milwaukee, Wisconsin, United States"
02/03/2024,,State of Sound,Wave Chapelle / Dak Dubois / Scam Likely / Sleepy Groucho,88Nine Radio Milwaukee Studios,"Milwaukee, Wisconsin, United States"
01/27/2024,,,Cécile McLorin Salvante,Marcus Performing Arts Center,"Milwaukee, Wisconsin, United States"
01/18/2024,,An Evening With MEG MYERS Acoustic,Meg Myers,The Rave,"Milwaukee, Wisconsin, United States"
01/13/2024,,Pool Sounds v3,Lady Bird / Max Niemann / Jacob Slade / Maximiano / Jack Eyke,Pool Studios,"Milwaukee, Wisconsin, United States"
12/28/2023,,,Trapper Schoepp / Nick Maas / Cabin Essence,Anodyne Coffee Roasting - Walker's Point Roastery,"Milwaukee, Wisconsin, United States"
12/21/2023,,THE LONGEST NIGHT,Blacktop / Andii / Maximiano,Linneman's Riverwest Inn,"Milwaukee, Wisconsin, United States"
12/09/2023,,Atsuko Okatsuka: Full Grown Tour,Atsuko Okatsuka,Turner Hall Ballroom,"Milwaukee, Wisconsin, United States"
11/30/2023,,"",Angel Olsen / Kara Jackson,Turner Hall Ballroom,"Milwaukee, Wisconsin, United States"
11/11/2023,,The Chapelle Show,Wave Chapelle / Emmit James / Micah Emrich / Duwayne / Dak Dubois,The Cooperage,"Milwaukee, Wisconsin, United States"
10/29/2023,,"",A. Savage / Max Niemann,The Back Room @ Colectivo,"Milwaukee, Wisconsin, United States"
10/26/2023,,,Darlingside,The Back Room @ Colectivo,"Milwaukee, Wisconsin, United States"
10/20/2023,,"",This Is The Kit,88Nine Radio Milwaukee Studios,"Milwaukee, Wisconsin, United States"
10/18/2023,,"",Nation of Language / Miss Grit,Turner Hall Ballroom,"Milwaukee, Wisconsin, United States"
10/14/2023,,Soft Spoken Album Release Show,Jacob Slade / Sleepy Gaucho / Smushie,The Back Room @ Colectivo,"Milwaukee, Wisconsin, United States"
10/07/2023,,the window tour,Ratboys / Free Range,The Back Room @ Colectivo,"Milwaukee, Wisconsin, United States"
09/23/2023,,"",Jacob Slade,House Show,"Milwaukee, Wisconsin, United States"
09/20/2023,,You are who you hang out with tour,The Front Bottoms / Vundabar,The Rave/Eagles Club,"Milwaukee, Wisconsin, United States"
09/05/2023,,"",Claud / Clementine / Barely Civil,X-Ray Arcade,"Cudahy, Wisconsin, United States"
08/25/2023,,"",The Righteous Babes / Gracie and Rachel / Holly Miranda / Jocelyn Mackenzie,The Back Room @ Colectivo,"Milwaukee, Wisconsin, United States"
08/23/2023,,,Fontaines D.C. / Been Stellar,The Rave/Eagles Club,"Milwaukee, Wisconsin, United States"
08/22/2023,,,Tim Heidecker,Turner Hall Ballroom,"Milwaukee, Wisconsin, United States"
08/19/2023,,,Local Natives / Annika Bennett,Pabst Theater,"Milwaukee, Wisconsin, United States"
08/15/2023,,The Amplified Echoes Tour,Jimmy Eat World / Manchester Orchestra / Middle Kids,"Eagles Ballroom, The Rave/Eagles Club","Milwaukee, Wisconsin, United States"
08/06/2023,,"",Katy Kirby / Lutalo / King Courteen,Cactus Club,"Milwaukee, Wisconsin, United States"
08/05/2023,,IS THERE A STORY HERE,JR JR,The Loving Touch,"Ferndale, Michigan, United States"
06/30/2023,,Summerfest 2023,Cullah,Summerfest,"Milwaukee, Wisconsin, United States"
06/29/2023,,The Passion Park Experience,David Lopez / LAKE,Bremen Cafe,"Milwaukee, Wisconsin, United States"
06/26/2023,,"Adi Oasis,Adi Oasis at The Back Room @ Colectivo",Adi Oasis / Phillip-Michael Scales,The Back Room @ Colectivo,"Milwaukee, Wisconsin, United States"
06/23/2023,,,Haiku Hands,Cactus Club,"Milwaukee, Wisconsin, United States"
06/21/2023,,,Counting Crows / Dashboard Confessional,Miller High Life Theatre,"Milwaukee, Wisconsin, United States"
06/16/2023,,"",Cullah / Revivalists,Anodyne Coffee Roasting - Walker's Point Roastery,"Milwaukee, Wisconsin, United States"
06/15/2023,,,Meshell Ndegeocello,Turner Hall Ballroom,"Milwaukee, Wisconsin, United States"
06/10/2023,,Escape From Wiscansin Fest 2023,Chance the Rapper / T-Pain / Afroman / Bow Wow / tobi lou / Lil Scrappy / Taylor Bennett / DJ Paul / Ambre / Young Ca$h / Seddy Hendrinx / LaRussell / NandoSTL / DJay Mando / Chayo Nash,The Rave/Eagles Club,"Milwaukee, Wisconsin, United States"
06/07/2023,,Studio Milwaukee Sessions,Samia,88Nine Radio Milwaukee Studios,"Milwaukee, Wisconsin, United States"
05/26/2023,,"",Emmitt James / NilexNile / Spider Creek / AC the Ruler,The Back Room @ Colectivo,"Milwaukee, Wisconsin, United States"
05/24/2023,,"Fenne Lily,Christian Lee Hutson at The Back Room @ Colectivo",Fenne Lily / Christian Lee Hutson / Work Wife,The Back Room @ Colectivo,"Milwaukee, Wisconsin, United States"
05/23/2023,,"",Ondara,Shank Hall,"Milwaukee, Wisconsin, United States"
05/18/2023,,"",David Wax Museum / Jacob Slade,The Back Room @ Colectivo,"Milwaukee, Wisconsin, United States"
05/08/2023,,Conditions Of A Punk Tour,half•alive / Tessa Violet / Dev Lemons,The Rave/Eagles Club,"Milwaukee, Wisconsin, United States"
05/06/2023,,IPUTUON @ Exhibit,Wave Chapelle / Eli $tone / 2hi / NilexNile,Exhibit Clothing Store,"Milwaukee, Wisconsin, United States"
05/01/2023,,,Overcoats,The Back Room @ Colectivo,"Milwaukee, Wisconsin, United States"
04/22/2023,,,Caroline Rose,Turner Hall Ballroom,"Milwaukee, Wisconsin, United States"
04/04/2023,,,Lucius / Danielle Ponder,Turner Hall ,"Milwaukee, Wisconsin, United States"
03/22/2023,,,Willi Carlisle / Willy Tea Taylor,Shank Hall,"Milwaukee, Wisconsin, United States"
03/04/2023,,"",The Collection / Mom Rock,The Back Room @ Colectivo,"Milwaukee, Wisconsin, United States"
02/11/2023,,"",Bella White / Jack Schneider,The Back Room @ Colectivo,"Milwaukee, Wisconsin, United States"
02/09/2023,,The Florentine Opera Presents: Covers,Immortal Girlfriend / Florentine Opera,The Cooperage,"Milwaukee, Wisconsin, United States"
01/07/2023,,Floating Gardens,The Nunnery,Eau Claire Masonic Temple,"Eau Claire, Wisconsin, United States"
12/23/2022,,Cullah's Annual Christmas Concert,Cullah,Anodyne Coffee Roasting - Walker's Point Roastery,"Milwaukee, Wisconsin, United States"
12/16/2022,,,Nikki Lane,Shank Hall,"Milwaukee, Wisconsin, United States"
11/11/2022,,"",We Are the Willows,Anodyne Coffee Roasting - Walker's Point Roastery,"Milwaukee, Wisconsin, United States"
10/21/2022,,,Saintseneca / Yowler,X-Ray Arcade,"Cudahy, Wisconsin, United States"
09/17/2022,,Midwest Musicfest 2022,Bathtub Cig / The Nunnery / J.E. Sunde,Root Note Coffee,"La Crosse, Wisconsin, United States"
09/16/2022,09/17/2022,Mid West Music Fest La Crosse 2022,"Field Report / Dosh / Dead Horses / Disq / GGOOLLDD / Why Not / Courtney Hartman / J.E. Sunde / Chris Koza / The Shackletons / Tugg / Good Morning Bedlam / Sleepy Gaucho / The People Brothers Band / Kiss the Tiger / Immortal Girlfriend / Seasaw / Kat and the Hurricane / Killusonline / Horace Greene / Mike Munson / Johanna Rose / Bathtub Cig / Luke Callen / glowingtide / The Gentlemen's Anti-Temperance League / The Violet Nines / Muun Bato / Caley Conway / Luke Hendrickson / The Immaculate Beings / Sweat Boys / St. Anthony Mann / theyself / Telethon (WI, USA) / FènixDion / Bad Posture Club / Under Violet / Loud Mouth Brass / Jae Havoc / Ellie Jackson / The Nunnery (US) / LASKA (US) / WRST / RiGBY (MN) / Audrey Robinson",Mid West Music Fest La Crosse 2022,"La Crosse, WI, US"
